'motivo','arruamento','troco','entidade','tipo_de_condicionamento','data_de_início','hora_de_inicio','data_de_fim','hora_de_fim','observacoes','registo_data','coordenada_x','coordenada_y','registo_hora','ultima_modificacao_data','ultima_modificacao_hora','objectid','esriGeometryPoint'
'Avaria de telecomunicações','Rua do Bonjardim','886','','Estreitamento',1683068400000,72000000,1683068400000,81900000,'',1683068400000,-8.606729,41.15832,74100000,1683068400000,74160000,107886,'-39749.83409999983,165571.6051999996'
'Avaria de telecomunicações','Rua do Montijo','Rua Senhora de Campanhã','','Ocupação do passeio',1683068400000,60300000,1683068400000,63900000,'',1683068400000,-8.57537,41.1672,60600000,1683068400000,60660000,107885,'-37112.63810000017,166543.0291000008'
'Avaria de telecomunicações','Rua de Guerra Junqueiro','325','wondercom','Ocupação do passeio',1683068400000,52200000,1683068400000,59400000,'',1683068400000,-8.637431,41.1559,52140000,1683068400000,52260000,107881,'-42328.417899999615,165316.7777999994'
'Avaria de telecomunicações','Rua do Cristelo','85','Wondercom','Ocupação do passeio',1683068400000,56700000,1683068400000,81900000,'',1683068400000,-8.629386,41.14577,57240000,1683068400000,57360000,107884,'-41659.566899999976,164187.5447000008'
'Outro motivo','Travessa da Fontinha','n.48','','Estreitamento',1683154800000,27000000,1683154800000,81900000,'Reparação de coletor na via',1683154800000,-8.605307,41.155,360000,1683154800000,480000,107894,'-39632.49129999982,165201.79209999926'
'Aluimento','Praça do Exército Libertador','116','','Ocupação do passeio',1683068400000,56700000,1683068400000,81900000,'',1683068400000,-8.624842,41.16576,57060000,1683068400000,57060000,107883,'-41265.45660000019,166405.3988000009'
'Outro motivo','Rua do Ouro','Frente a antiga EDP','','Estreitamento',1683154800000,27900000,1683154800000,81900000,'Reparação de injetores na via',1683154800000,-8.642267,41.14808,480000,1683154800000,540000,107895,'-42739.38900000037,164450.5898000005'
'Outro motivo','Rua da Senhora do Porto','n.913','','Estreitamento',1683154800000,27000000,1683154800000,81900000,'Reparação de conduta na via',1683154800000,-8.624537,41.17951,600000,1683154800000,660000,109065,'-41231.20899999974,167932.85879999862'
'Reparação de boca de incêndio','Rua de Aires de Ornelas','Nº 164','','Ocupação do passeio',1683154800000,25980000,1683154800000,81900000,'',1683154800000,-8.596555,41.15659,26040000,1683154800000,26160000,107897,'-38896.892400000215,165374.02749999976'
'Avaria de telecomunicações','Rua Nova do Regado','Nº338','Altice- Pedro Rocha','Estreitamento',1683068400000,48600000,1683068400000,55800000,'Abrir CVP C/ policiamento',1683068400000,-8.620197,41.17072,48840000,1683068400000,48960000,109062,'-40872.5482000001,166954.56409999932'
'Acidente rodoviário','Via Norte','junto ao acesso N12','','Estreitamento',1683154800000,27420000,1683154800000,30600000,'Despiste de viatura ligeira',1683154800000,-8.62232,41.17781,27540000,1683154800000,27600000,107899,'-41046.254200000345,167742.3847'
'Acidente rodoviário','Via de Cintura Interna','Viaduto do amial','PSP','Estreitamento',1683154800000,26700000,1683154800000,27000000,'Embate entre 3 viaturas ligeiras',1683154800000,-8.613554,41.17453,26940000,1683154800000,27000000,109066,'-40312.7500999999,167375.04209999935'
'Avaria de veículo','Via de Cintura Interna','Mercado abastecedor','IP','Estreitamento',1683154800000,25800000,1683154800000,30600000,'',1683154800000,-8.581231,41.16158,26820000,1683154800000,26880000,107898,'-37607.73880000035,165921.87890000053'
'Outro motivo','Passeio das Virtudes','Nº 30','','Ocupação do passeio',1683154800000,33000000,1683154800000,81900000,'Tamponar ramal',1683154800000,-8.618329,41.14405,32880000,1683154800000,33180000,109471,'-40732.356700000295,163991.5726999997'
'Avaria de telecomunicações','Rua de Júlio Dinis','nº71','PDT- António Fonseca','Ocupação do passeio',1683154800000,38400000,1683154800000,39600000,'',1683154800000,-8.625644,41.14945,38040000,1683154800000,38760000,109873,'-41343.05169999972,164594.49829999878'
'Avaria de telecomunicações','Rua de Gonçalo Sampaio','Nº 243','BYSAT','Ocupação do passeio',1683154800000,36360000,1683154800000,38160000,'Abrir CVP',1683154800000,-8.631062,41.1546,36420000,1683154800000,36720000,109870,'-41794.59619999952,165169.49919999996'
'Acidente rodoviário','Avenida da Associação Empresarial de Portugal','a meio da avenida','','Estreitamento',1683154800000,38100000,1683154800000,39600000,'',1683154800000,-8.650335,41.17372,38580000,1683154800000,38760000,109875,'-43399.74390000018,167302.5342999987'
'Outro motivo','Rua de Sá de Albergaria','600','','Ocupação do passeio',1683154800000,36000000,1683154800000,81900000,'Tamponar ramal .',1683154800000,-8.680866,41.16201,36840000,1683154800000,36900000,109871,'-45970.01229999961,166017.29329999912'
'Outro motivo','Rua de Paredes','61','','Estacionamento',1683154800000,36000000,1683154800000,81900000,'Tamponar ramal .',1683154800000,-8.661226,41.16432,36960000,1683154800000,37020000,109872,'-44320.03110000022,166263.88069999978'
'Avaria de telecomunicações','Rua do Almada','Nº 383','Visabeira','Estacionamento',1683154800000,32400000,1683154800000,34200000,'Abrir CVP',1683154800000,-8.612096,41.15041,32340000,1683154800000,32520000,107903,'-40205.208399999865,164694.66579999932'
'Outro motivo','Rua do Bonfim','C/ Rua Barros Lima','','Estreitamento',1683154800000,31080000,1683154800000,81900000,'Instalar Válvula de Ramal C/ policiamento',1683154800000,-8.594151,41.15083,30780000,1683154800000,31140000,109068,'-38698.556800000355,164733.35610000094'
'Avaria de telecomunicações','Rua de Santos Pousada','661','MEO','Estacionamento',1683154800000,30600000,1683154800000,34200000,'',1683154800000,-8.599551,41.15468,30480000,1683154800000,30600000,107900,'-39149.54229999979,165163.13450000092'
